"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"fin_0355-2047_1905-01-03_2-00003_751678.txt.lemmatized",0.334492125415936,2.69395795761517e-05,2.69395795734898e-05,2.69395795735954e-05,0.0891895661183441,0.0832261948964658,2.69395795727467e-05,2.69395795734334e-05,2.6939579573756e-05,2.69395795735548e-05,2.69395795734732e-05,2.69395795763256e-05,0.0637102984588023,0.136252398665456,2.69395795755598e-05,2.6939579573833e-05,2.69395795736807e-05,2.69395795718413e-05,2.69395795736401e-05,0.292752262330961
"fin_0355-2047_1905-01-03_2-00004_751678.txt.lemmatized",0.32785728902843,2.11732270354769e-05,2.11732270335377e-05,2.11732270334335e-05,0.141493698462805,2.11732270332146e-05,0.0196831201606533,2.11732270334017e-05,2.11732270334198e-05,0.411433620358166,0.040184331602757,2.11732270338813e-05,2.11732270340712e-05,0.0299657770974897,2.11732270343326e-05,2.11732270355371e-05,0.0291069113382567,2.11732270324791e-05,2.11732270353786e-05,2.11732270345874e-05
"fin_0355-2047_1905-01-03_2-00005_751678.txt.lemmatized",0.140689586533787,2.96436124424861e-05,2.96436124409359e-05,0.125780887615987,2.96436124428962e-05,2.96436124426253e-05,0.0174773386369061,0.00310972759375701,2.96436124428372e-05,0.0606290834385335,0.0395254379435494,2.96436124414069e-05,2.96436124434968e-05,0.345308068241741,2.96436124394497e-05,2.96436124416627e-05,0.173033898559481,2.96436124391113e-05,0.0843655692619643,0.00978396604987698
"fin_0355-2047_1905-01-03_2-00006_751678.txt.lemmatized",2.78724278546393e-05,2.78724278500734e-05,2.78724278501662e-05,0.423537563721208,2.78724278521764e-05,2.78724278508187e-05,2.78724278521231e-05,2.78724278509021e-05,2.78724278553667e-05,0.0331478802387284,2.78724278538594e-05,2.78724278506173e-05,2.7872427854822e-05,0.542840724766584,2.78724278493123e-05,2.78724278500192e-05,2.78724278535473e-05,2.78724278472035e-05,2.78724278517172e-05,2.7872427851679e-05
"fin_0355-2047_1905-01-03_2-00007_751678.txt.lemmatized",0.0787003889018829,2.84125833237399e-05,2.84125833237404e-05,2.84125833238831e-05,0.068445929448232,2.84125833235569e-05,2.84125833236519e-05,2.84125833242774e-05,2.84125833240044e-05,2.84125833272077e-05,0.12207026433781,2.84125833242207e-05,2.84125833241459e-05,0.191376371787286,2.84125833218791e-05,0.385979445478746,0.146784642331885,0.0062735941309451,2.84125833259831e-05,2.84125833237874e-05
"fin_0355-2047_1905-01-03_2-00008_751678.txt.lemmatized",2.74622159289238e-05,2.7462215926478e-05,2.74622159251837e-05,2.74622159246178e-05,2.74622159251656e-05,2.74622159281922e-05,2.74622159250207e-05,2.74622159262485e-05,2.74622159245105e-05,2.74622159253774e-05,2.74622159251191e-05,2.74622159270045e-05,2.74622159250835e-05,2.7462215928327e-05,0.43984172958598,0.550519708079615,0.00917170466366252,2.74622159266511e-05,2.74622159244932e-05,2.7462215926283e-05
"fin_0355-2047_1905-01-04_3-00001_751679.txt.lemmatized",7.94300075456709e-05,0.286321679861125,7.94300075447174e-05,7.94300075485626e-05,7.94300075479676e-05,7.94300075470844e-05,7.94300075510305e-05,7.94300075531565e-05,7.94300075507471e-05,7.94300075532893e-05,7.94300075498511e-05,0.668199883451615,0.0340632620630347,7.94300075475265e-05,7.94300075468609e-05,7.94300075553063e-05,7.94300075542276e-05,7.94300075400632e-05,7.94300075501933e-05,0.0101442945034387
"fin_0355-2047_1905-01-04_3-00002_751679.txt.lemmatized",0.167807750568816,0.0601752224622781,3.71227322153275e-05,3.71227322216012e-05,3.71227322134089e-05,3.712273221649e-05,3.71227322173745e-05,0.00718309195727505,0.0784740364006891,3.71227322184672e-05,3.71227322160511e-05,3.71227322155128e-05,0.135275527680932,3.71227322175234e-05,3.71227322140068e-05,3.7122732215002e-05,3.71227322166603e-05,0.255014874383658,0.0932187345798874,0.202405289179866
"fin_0355-2047_1905-01-04_3-00003_751679.txt.lemmatized",0.287665642510816,2.56919248847154e-05,2.56919248857418e-05,2.56919248848966e-05,0.110847808401444,2.56919248837083e-05,2.56919248844762e-05,2.56919248838411e-05,2.56919248844005e-05,2.56919248856194e-05,0.147259882780263,2.56919248849249e-05,2.5691924884878e-05,0.283511054319678,2.56919248851858e-05,2.56919248858695e-05,2.56919248848718e-05,2.56919248840873e-05,2.56919248858994e-05,0.170330233114527
"fin_0355-2047_1905-01-04_3-00004_751679.txt.lemmatized",0.358353191552765,1.80617379370104e-05,1.80617379354302e-05,1.80617379361854e-05,1.80617379366281e-05,1.8061737936545e-05,1.80617379362775e-05,1.80617379360966e-05,0.0378329996534242,0.476293752071435,0.0849587622005132,1.80617379361767e-05,1.80617379374358e-05,0.0149350120192114,1.80617379346337e-05,1.80617379373315e-05,0.027373418171541,1.80617379356703e-05,1.80617379368418e-05,1.80617379372671e-05
"fin_0355-2047_1905-01-04_3-00005_751679.txt.lemmatized",0.150130986264259,3.31908149602116e-05,3.31908149591007e-05,3.31908149568025e-05,0.056667172870936,3.31908149567129e-05,3.31908149603435e-05,3.31908149589133e-05,3.31908149572832e-05,0.0195222248512993,0.005292293797032,3.31908149596427e-05,0.130396769810565,0.362615337604086,3.31908149568631e-05,0.0296967473021272,0.211927821652377,3.31908149579093e-05,3.31908149606476e-05,0.0333855468827737
