"","x"
"fin_0355-2047_1905-01-21_17-00004_751693.txt.lemmatized",1
"fin_0355-2047_1905-01-21_17-00005_751693.txt.lemmatized",1
"fin_0355-2047_1905-01-21_17-00006_751693.txt.lemmatized",14
"fin_0355-2047_1905-01-21_17-00007_751693.txt.lemmatized",17
"fin_0355-2047_1905-01-21_17-00008_751693.txt.lemmatized",15
"fin_0355-2047_1905-01-22_18-00001_751694.txt.lemmatized",12
"fin_0355-2047_1905-01-22_18-00002_751694.txt.lemmatized",2
"fin_0355-2047_1905-01-22_18-00003_751694.txt.lemmatized",1
"fin_0355-2047_1905-01-22_18-00004_751694.txt.lemmatized",1
"fin_0355-2047_1905-01-22_18-00005_751694.txt.lemmatized",1
"fin_0355-2047_1905-01-22_18-00006_751694.txt.lemmatized",14
"fin_0355-2047_1905-01-22_18-00007_751694.txt.lemmatized",17
"fin_0355-2047_1905-01-22_18-00008_751694.txt.lemmatized",3
"fin_0355-2047_1905-01-22_18-00009_751694.txt.lemmatized",19
"fin_0355-2047_1905-01-24_19-00001_751695.txt.lemmatized",12
"fin_0355-2047_1905-01-24_19-00002_751695.txt.lemmatized",18
"fin_0355-2047_1905-01-24_19-00003_751695.txt.lemmatized",1
"fin_0355-2047_1905-01-24_19-00004_751695.txt.lemmatized",1
"fin_0355-2047_1905-01-24_19-00005_751695.txt.lemmatized",14
"fin_0355-2047_1905-01-24_19-00007_751695.txt.lemmatized",11
"fin_0355-2047_1905-01-24_19-00008_751695.txt.lemmatized",15
"fin_0355-2047_1905-01-25_20-00001_751696.txt.lemmatized",12
"fin_0355-2047_1905-01-25_20-00002_751696.txt.lemmatized",6
"fin_0355-2047_1905-01-25_20-00003_751696.txt.lemmatized",20
"fin_0355-2047_1905-01-25_20-00004_751696.txt.lemmatized",1
"fin_0355-2047_1905-01-25_20-00005_751696.txt.lemmatized",1
"fin_0355-2047_1905-01-25_20-00006_751696.txt.lemmatized",14
"fin_0355-2047_1905-01-25_20-00007_751696.txt.lemmatized",14
"fin_0355-2047_1905-01-25_20-00008_751696.txt.lemmatized",15
"fin_0355-2047_1905-01-26_21-00001_751697.txt.lemmatized",12
"fin_0355-2047_1905-01-26_21-00002_751697.txt.lemmatized",18
"fin_0355-2047_1905-01-26_21-00003_751697.txt.lemmatized",11
"fin_0355-2047_1905-01-26_21-00004_751697.txt.lemmatized",11
"fin_0355-2047_1905-01-26_21-00005_751697.txt.lemmatized",19
"fin_0355-2047_1905-01-26_21-00006_751697.txt.lemmatized",4
"fin_0355-2047_1905-01-26_21-00007_751697.txt.lemmatized",11
"fin_0355-2047_1905-01-26_21-00008_751697.txt.lemmatized",15
"fin_0355-2047_1905-01-27_22-00001_751698.txt.lemmatized",2
"fin_0355-2047_1905-01-27_22-00002_751698.txt.lemmatized",18
"fin_0355-2047_1905-01-27_22-00003_751698.txt.lemmatized",11
"fin_0355-2047_1905-01-27_22-00004_751698.txt.lemmatized",11
"fin_0355-2047_1905-01-27_22-00005_751698.txt.lemmatized",13
"fin_0355-2047_1905-01-27_22-00006_751698.txt.lemmatized",9
"fin_0355-2047_1905-01-27_22-00007_751698.txt.lemmatized",17
"fin_0355-2047_1905-01-27_22-00008_751698.txt.lemmatized",15
"fin_0355-2047_1905-01-28_23-00001_751699.txt.lemmatized",12
"fin_0355-2047_1905-01-28_23-00002_751699.txt.lemmatized",18
"fin_0355-2047_1905-01-28_23-00003_751699.txt.lemmatized",5
"fin_0355-2047_1905-01-28_23-00004_751699.txt.lemmatized",10
"fin_0355-2047_1905-01-28_23-00005_751699.txt.lemmatized",11
"fin_0355-2047_1905-01-28_23-00006_751699.txt.lemmatized",19
"fin_0355-2047_1905-01-28_23-00007_751699.txt.lemmatized",4
"fin_0355-2047_1905-01-28_23-00008_751699.txt.lemmatized",15
"fin_0355-2047_1905-01-29_24-00001_751700.txt.lemmatized",12
"fin_0355-2047_1905-01-29_24-00002_751700.txt.lemmatized",2
"fin_0355-2047_1905-01-29_24-00003_751700.txt.lemmatized",18
"fin_0355-2047_1905-01-29_24-00004_751700.txt.lemmatized",13
"fin_0355-2047_1905-01-29_24-00005_751700.txt.lemmatized",13
"fin_0355-2047_1905-01-29_24-00006_751700.txt.lemmatized",4
"fin_0355-2047_1905-01-29_24-00007_751700.txt.lemmatized",3
"fin_0355-2047_1905-01-29_24-00008_751700.txt.lemmatized",15
"fin_0355-2047_1905-01-31_25-00001_751701.txt.lemmatized",12
"fin_0355-2047_1905-01-31_25-00002_751701.txt.lemmatized",18
"fin_0355-2047_1905-01-31_25-00003_751701.txt.lemmatized",20
"fin_0355-2047_1905-01-31_25-00004_751701.txt.lemmatized",13
"fin_0355-2047_1905-01-31_25-00005_751701.txt.lemmatized",13
"fin_0355-2047_1905-01-31_25-00006_751701.txt.lemmatized",4
"fin_0355-2047_1905-01-31_25-00007_751701.txt.lemmatized",9
"fin_0355-2047_1905-01-31_25-00008_751701.txt.lemmatized",15
"fin_0355-2047_1905-02-01_26-00001_751702.txt.lemmatized",12
"fin_0355-2047_1905-02-01_26-00002_751702.txt.lemmatized",18
"fin_0355-2047_1905-02-01_26-00003_751702.txt.lemmatized",20
"fin_0355-2047_1905-02-01_26-00004_751702.txt.lemmatized",10
"fin_0355-2047_1905-02-01_26-00005_751702.txt.lemmatized",4
"fin_0355-2047_1905-02-01_26-00006_751702.txt.lemmatized",9
"fin_0355-2047_1905-02-01_26-00007_751702.txt.lemmatized",16
"fin_0355-2047_1905-02-01_26-00008_751702.txt.lemmatized",16
"fin_0355-2047_1905-02-02_27-00001_751703.txt.lemmatized",12
"fin_0355-2047_1905-02-02_27-00002_751703.txt.lemmatized",18
"fin_0355-2047_1905-02-02_27-00003_751703.txt.lemmatized",20
"fin_0355-2047_1905-02-02_27-00004_751703.txt.lemmatized",5
"fin_0355-2047_1905-02-02_27-00005_751703.txt.lemmatized",19
"fin_0355-2047_1905-02-02_27-00006_751703.txt.lemmatized",4
"fin_0355-2047_1905-02-02_27-00007_751703.txt.lemmatized",17
"fin_0355-2047_1905-02-02_27-00008_751703.txt.lemmatized",15
"fin_0355-2047_1905-02-03_28-00001_751704.txt.lemmatized",12
"fin_0355-2047_1905-02-03_28-00002_751704.txt.lemmatized",18
"fin_0355-2047_1905-02-03_28-00003_751704.txt.lemmatized",10
"fin_0355-2047_1905-02-03_28-00004_751704.txt.lemmatized",10
"fin_0355-2047_1905-02-03_28-00005_751704.txt.lemmatized",13
"fin_0355-2047_1905-02-03_28-00006_751704.txt.lemmatized",9
"fin_0355-2047_1905-02-03_28-00007_751704.txt.lemmatized",11
"fin_0355-2047_1905-02-03_28-00008_751704.txt.lemmatized",15
"fin_0355-2047_1905-02-03_28-00009_751704.txt.lemmatized",11
"fin_0355-2047_1905-02-03_28-00010_751704.txt.lemmatized",11
"fin_0355-2047_1905-02-03_28-00011_751704.txt.lemmatized",11
"fin_0355-2047_1905-02-03_28-00012_751704.txt.lemmatized",12
"fin_0355-2047_1905-02-04_29-00001_751705.txt.lemmatized",2
"fin_0355-2047_1905-02-04_29-00002_751705.txt.lemmatized",18
"fin_0355-2047_1905-02-04_29-00003_751705.txt.lemmatized",13
"fin_0355-2047_1905-02-04_29-00004_751705.txt.lemmatized",10
"fin_0355-2047_1905-02-04_29-00005_751705.txt.lemmatized",13
